Id,Date,Message,Description,EntryDateTime,Status,NumberOfExchangeRates,NumberOfCrossRates
328,2005-11-01 00:00:00,,,2021-11-06 02:30:26.8784743,1,18,11
329,2005-11-02 00:00:00,No data exists,The remote server returned an error: (404) Not Found.,2021-11-06 02:30:37.2182041,0,0,0
330,2005-11-03 00:00:00,No data exists,The remote server returned an error: (404) Not Found.,2021-11-06 02:30:37.4151499,0,0,0
331,2005-11-04 00:00:00,No data exists,The remote server returned an error: (404) Not Found.,2021-11-06 02:30:37.5963578,0,0,0
332,2005-11-05 00:00:00,Weekend,,2021-11-06 02:30:37.7810231,0,0,0
333,2005-11-06 00:00:00,Weekend,,2021-11-06 02:30:37.7899208,0,0,0
334,2005-11-07 00:00:00,,,2021-11-06 02:30:37.7986477,1,18,11
335,2005-11-08 00:00:00,,,2021-11-06 02:30:38.1040303,1,18,11
336,2005-11-09 00:00:00,,,2021-11-06 02:30:38.4306482,1,18,11
337,2005-11-10 00:00:00,,,2021-11-06 02:30:38.7559183,1,18,11
338,2005-11-11 00:00:00,,,2021-11-06 02:30:39.0872472,1,18,11
339,2005-11-12 00:00:00,Weekend,,2021-11-06 02:30:39.4207619,0,0,0
340,2005-11-13 00:00:00,Weekend,,2021-11-06 02:30:39.431148,0,0,0
341,2005-11-14 00:00:00,,,2021-11-06 02:30:39.4415726,1,18,11
342,2005-11-15 00:00:00,,,2021-11-06 02:30:39.7992586,1,18,11
343,2005-11-16 00:00:00,,,2021-11-06 02:30:40.123727,1,18,11
344,2005-11-17 00:00:00,,,2021-11-06 02:30:40.46924,1,18,11
345,2005-11-18 00:00:00,,,2021-11-06 02:30:40.8051424,1,18,11
346,2005-11-19 00:00:00,Weekend,,2021-11-06 02:30:41.1515828,0,0,0
347,2005-11-20 00:00:00,Weekend,,2021-11-06 02:30:41.1626656,0,0,0
348,2005-11-21 00:00:00,,,2021-11-06 02:30:41.1742549,1,18,11
349,2005-11-22 00:00:00,,,2021-11-06 02:30:41.6041283,1,18,11
350,2005-11-23 00:00:00,,,2021-11-06 02:30:42.0238419,1,18,11
351,2005-11-24 00:00:00,,,2021-11-06 02:30:42.3864825,1,18,11
352,2005-11-25 00:00:00,,,2021-11-06 02:30:42.7610106,1,18,11
353,2005-11-26 00:00:00,Weekend,,2021-11-06 02:30:43.1594353,0,0,0
